"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Polk County, Florida","151736","50944","63865"
"Putnam County, Florida","18305","40802","53067"
"St. Johns County, Florida","52435","80707","111432"
"St. Lucie County, Florida","72781","50334","65583"
"Santa Rosa County, Florida","42102","66006","78731"
"Sarasota County, Florida","103411","61339","85307"
"Seminole County, Florida","99156","68680","89705"
"Sumter County, Florida","30455","58068","69335"
"Suwannee County, Florida","10902","43716","51940"
"Taylor County, Florida","5253","42684","53129"
"Union County, Florida","2825","48365","54695"
"Volusia County, Florida","122373","53086","67410"
"Wakulla County, Florida","7609","59910","67172"
"Walton County, Florida","14632","56484","75306"
"Washington County, Florida","5690","45152","54542"
"Appling County, Georgia","4669","44610","58320"
"Atkinson County, Georgia","1882","34500","51312"
"Bacon County, Georgia","2764","48115","58055"
"Baker County, Georgia","856","46696","54737"
"Baldwin County, Georgia","9831","48719","62754"
"Banks County, Georgia","5006","51561","60826"
"Barrow County, Georgia","17814","58892","67442"
"Bartow County, Georgia","25801","56223","64869"
"Ben Hill County, Georgia","4038","35307","42475"
"Berrien County, Georgia","4999","42594","50906"
"Bibb County, Georgia","36231","49891","66670"
"Bleckley County, Georgia","2675","46594","73038"
"Brantley County, Georgia","4979","41975","48543"
"Brooks County, Georgia","4211","46973","57843"
"Bryan County, Georgia","8676","74513","83614"
"Bulloch County, Georgia","15066","52100","65827"
"Burke County, Georgia","5438","41707","49974"
"Butts County, Georgia","5492","61761","66330"
"Calhoun County, Georgia","1097","39514","60742"
"Camden County, Georgia","13834","60101","66968"
"Candler County, Georgia","2696","42466","55397"
"Carroll County, Georgia","27795","54942","67051"
"Catoosa County, Georgia","17570","55768","65089"
"Charlton County, Georgia","2590","50091","59516"
"Chatham County, Georgia","63273","55978","74810"
"Chattahoochee County, Georgia","2101","49808","61294"
"Chattooga County, Georgia","6509","40623","49825"
"Cherokee County, Georgia","57631","78328","92398"
"Clarke County, Georgia","20623","50744","68992"
"Clay County, Georgia","713","28352","38192"
"Clayton County, Georgia","56280","45355","55600"
"Clinch County, Georgia","1676","42792","55833"
"Cobb County, Georgia","176700","78058","100693"
"Coffee County, Georgia","10234","41964","55684"
"Colquitt County, Georgia","11736","38765","53296"
"Columbia County, Georgia","34619","77373","95670"
"Cook County, Georgia","4708","43780","54536"
"Coweta County, Georgia","34992","70163","82142"
"Crawford County, Georgia","3383","48796","58835"
"Crisp County, Georgia","6338","42934","52519"
"Dade County, Georgia","4771","50830","63804"
"Dawson County, Georgia","6499","60910","80639"
"Decatur County, Georgia","7102","42523","55802"
"DeKalb County, Georgia","156378","60182","85456"
"Dodge County, Georgia","5454","50116","57174"
"Dooly County, Georgia","3259","38617","48544"
"Dougherty County, Georgia","22758","38145","54926"
"Douglas County, Georgia","34404","58918","71913"
"Early County, Georgia","2614","40732","53521"
"Echols County, Georgia","1090","41818","51816"
"Effingham County, Georgia","13919","69450","77735"
"Elbert County, Georgia","5380","41387","53805"
"Emanuel County, Georgia","5522","37388","53677"
"Evans County, Georgia","2554","46369","59187"
"Fannin County, Georgia","6905","40855","52069"
"Fayette County, Georgia","29756","91574","110142"
"Floyd County, Georgia","23558","50563","64634"
"Forsyth County, Georgia","46617","99573","115430"
"Franklin County, Georgia","5903","45934","53795"
"Fulton County, Georgia","206393","75658","115469"
"Gilmer County, Georgia","8163","44624","60584"
"Glascock County, Georgia","855","49279","55995"
"Glynn County, Georgia","21764","56221","76714"
"Gordon County, Georgia","13438","48810","60875"
"Grady County, Georgia","6524","38759","49095"
"Greene County, Georgia","4538","51000","82488"
"Gwinnett County, Georgia","203575","66432","83980"
"Habersham County, Georgia","10647","48610","60770"
"Hall County, Georgia","45552","58295","75143"
"Hancock County, Georgia","1573","35795","45956"
"Haralson County, Georgia","7882","49077","59542"
"Harris County, Georgia","8968","82259","98574"
"Hart County, Georgia","6693","47473","61039"
"Heard County, Georgia","2906","49381","58282"
"Henry County, Georgia","52906","67683","79137"
"Houston County, Georgia","36314","66233","76842"
"Irwin County, Georgia","2455","50125","58741"
"Jackson County, Georgia","16431","61088","72479"
"Jasper County, Georgia","3632","49194","63617"
"Jeff Davis County, Georgia","3950","42577","54114"
"Jefferson County, Georgia","4183","34739","45589"
"Jenkins County, Georgia","2233","35490","44856"
"Johnson County, Georgia","2316","43634","55338"
"Jones County, Georgia","7692","60290","73064"
"Lamar County, Georgia","4430","49741","59201"
"Lanier County, Georgia","2561","51739","55290"
"Laurens County, Georgia","12244","43935","56923"
"Lee County, Georgia","7400","67319","82158"
"Liberty County, Georgia","17097","48756","60432"
"Lincoln County, Georgia","2279","42909","55630"
"Long County, Georgia","3570","50522","54092"
"Lowndes County, Georgia","25247","49499","61575"
"Lumpkin County, Georgia","7203","56826","67328"
"McDuffie County, Georgia","5916","44510","53966"
"McIntosh County, Georgia","3350","54036","61015"
"Macon County, Georgia","3217","37668","45489"
"Madison County, Georgia","6969","50554","59918"
"Marion County, Georgia","1879","49229","58377"
"Meriwether County, Georgia","5771","43597","55627"
"Miller County, Georgia","1706","41058","52559"
"Mitchell County, Georgia","5244","41477","49831"
"Monroe County, Georgia","7194","57440","70580"
"Montgomery County, Georgia","2132","42933","52922"
"Morgan County, Georgia","4875","55030","76042"
"Murray County, Georgia","10660","44811","49966"
"Muscogee County, Georgia","46771","50999","68848"
"Newton County, Georgia","24968","56113","65445"
"Oconee County, Georgia","9209","82625","106891"
"Oglethorpe County, Georgia","3736","57399","62467"
"Paulding County, Georgia","38553","67668","75315"
"Peach County, Georgia","6848","52500","63575"
"Pickens County, Georgia","8405","59623","76531"
"Pierce County, Georgia","5023","47747","60010"
"Pike County, Georgia","4922","61309","69905"
"Polk County, Georgia","10718","48675","57713"
"Pulaski County, Georgia","2935","48257","56844"
"Putnam County, Georgia","6453","51380","75246"
"Quitman County, Georgia","666","33333","41096"
