"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Grundy County, Tennessee","3591","35507","47598"
"Hamblen County, Tennessee","16949","50162","61264"
"Hamilton County, Tennessee","88096","60329","80721"
"Hancock County, Tennessee","1856","30776","40506"
"Hardeman County, Tennessee","5953","41966","52413"
"Hardin County, Tennessee","6646","41225","60353"
"Hawkins County, Tennessee","16557","46066","56151"
"Haywood County, Tennessee","4522","43094","57020"
"Henderson County, Tennessee","7824","47551","59658"
"Henry County, Tennessee","8966","48836","61662"
"Hickman County, Tennessee","6320","47683","59097"
"Houston County, Tennessee","2292","44637","52456"
"Humphreys County, Tennessee","5044","54492","63321"
"Jackson County, Tennessee","3067","42800","52602"
"Jefferson County, Tennessee","13813","49107","60408"
"Johnson County, Tennessee","4849","36866","46032"
"Knox County, Tennessee","109025","64310","84297"
"Lake County, Tennessee","1394","36926","47316"
"Lauderdale County, Tennessee","6695","38356","50493"
"Lawrence County, Tennessee","11177","47649","58900"
"Lewis County, Tennessee","3223","42415","53603"
"Lincoln County, Tennessee","9379","51120","60944"
"Loudon County, Tennessee","14577","60003","75079"
"McMinn County, Tennessee","14308","48576","56728"
"McNairy County, Tennessee","6646","41545","55026"
"Macon County, Tennessee","6212","42307","51788"
"Madison County, Tennessee","23701","54519","72737"
"Marion County, Tennessee","7826","49631","62265"
"Marshall County, Tennessee","8261","51921","62534"
"Maury County, Tennessee","21924","55558","66520"
"Meigs County, Tennessee","3411","47672","54708"
"Monroe County, Tennessee","12840","44907","57095"
"Montgomery County, Tennessee","46197","57117","66277"
"Moore County, Tennessee","1711","59462","72298"
"Morgan County, Tennessee","5350","45434","58652"
"Obion County, Tennessee","8754","46784","59446"
"Overton County, Tennessee","6292","43587","54215"
"Perry County, Tennessee","2080","39661","49730"
"Pickett County, Tennessee","1933","42159","53927"
"Polk County, Tennessee","4769","46076","56755"
"Putnam County, Tennessee","18338","47920","59805"
"Rhea County, Tennessee","8372","46526","55097"
"Roane County, Tennessee","14958","52729","66471"
"Robertson County, Tennessee","17697","60073","71066"
"Rutherford County, Tennessee","67000","66755","77689"
"Scott County, Tennessee","5426","35842","47514"
"Sequatchie County, Tennessee","4046","49238","61780"
"Sevier County, Tennessee","26648","50704","61349"
"Shelby County, Tennessee","221657","57213","79263"
"Smith County, Tennessee","5141","52301","63982"
"Stewart County, Tennessee","3766","51250","62162"
"Sullivan County, Tennessee","44690","50725","66702"
"Sumner County, Tennessee","45698","64806","83288"
"Tipton County, Tennessee","16457","59729","69926"
"Trousdale County, Tennessee","2003","52030","65155"
"Unicoi County, Tennessee","5031","44029","57403"
"Union County, Tennessee","5149","40717","50493"
"Van Buren County, Tennessee","1491","41019","55006"
"Warren County, Tennessee","10341","43922","57787"
"Washington County, Tennessee","33109","52949","72555"
"Wayne County, Tennessee","4401","44653","52287"
"Weakley County, Tennessee","9101","50628","60659"
"White County, Tennessee","6755","42357","53951"
"Williamson County, Tennessee","52358","104796","131316"
"Wilson County, Tennessee","31656","70024","81796"
"Anderson County, Texas","11544","52077","67170"
"Andrews County, Texas","3913","76563","92555"
"Angelina County, Texas","22468","47396","65070"
"Aransas County, Texas","6718","55880","71474"
"Archer County, Texas","2564","68419","82405"
"Armstrong County, Texas","520","76357","80816"
"Atascosa County, Texas","11835","53016","67301"
"Austin County, Texas","7517","64760","79009"
"Bailey County, Texas","1806","48681","60511"
"Bandera County, Texas","5660","63387","71818"
"Bastrop County, Texas","18661","61250","73956"
"Baylor County, Texas","1013","56656","81542"
"Bee County, Texas","5868","50229","64926"
"Bell County, Texas","75209","58115","71564"
"Bexar County, Texas","410792","58289","76803"
"Blanco County, Texas","2800","68598","80142"
"Borden County, Texas","191","76250","153091"
"Bosque County, Texas","5000","53835","71224"
"Bowie County, Texas","23119","53995","69435"
"Brazoria County, Texas","80021","79880","94893"
"Brazos County, Texas","39207","58863","78740"
"Brewster County, Texas","2264","55893","86961"
"Briscoe County, Texas","441","50560","59418"
"Brooks County, Texas","1663","28558","46723"
"Brown County, Texas","9503","48865","62869"
"Burleson County, Texas","4453","56139","65033"
"Burnet County, Texas","11995","58125","71522"
"Caldwell County, Texas","7861","51289","67444"
"Calhoun County, Texas","5815","56167","69158"
"Callahan County, Texas","3437","57957","68524"
"Cameron County, Texas","94157","36332","51745"
"Camp County, Texas","3269","45781","58542"
"Carson County, Texas","1775","73125","78305"
"Cass County, Texas","7926","47101","57664"
"Castro County, Texas","1873","40595","62783"
"Chambers County, Texas","9839","82601","97363"
"Cherokee County, Texas","12823","46797","60998"
"Childress County, Texas","1627","58160","73067"
"Clay County, Texas","3013","66788","76684"
"Cochran County, Texas","759","43458","56578"
"Coke County, Texas","935","60684","74994"
"Coleman County, Texas","2512","37887","53028"
"Collin County, Texas","214515","97421","118103"
"Collingsworth County, Texas","761","48250","67579"
"Colorado County, Texas","5691","55408","71438"
"Comal County, Texas","31217","77324","98461"
"Comanche County, Texas","3443","45503","55033"
"Concho County, Texas","662","58654","68239"
"Cooke County, Texas","10366","59160","75074"
"Coryell County, Texas","15830","56459","66179"
"Cottle County, Texas","525","39241","51284"
"Crane County, Texas","1153","60625","72275"
"Crockett County, Texas","1047","57050","70568"
"Crosby County, Texas","1606","42379","56138"
"Culberson County, Texas","568","43793","50942"
"Dallam County, Texas","1699","44301","57450"
"Dallas County, Texas","560243","55113","81617"
"Dawson County, Texas","3093","51946","62401"
"Deaf Smith County, Texas","4561","47763","60841"
"Delta County, Texas","1339","52482","60480"
"Denton County, Texas","172944","90086","107738"
"DeWitt County, Texas","4654","55394","77921"
"Dickens County, Texas","602","53558","59632"
"Dimmit County, Texas","2472","44403","51546"
"Donley County, Texas","874","57961","65033"
"Duval County, Texas","2699","40917","61698"
"Eastland County, Texas","4371","44271","59080"
"Ector County, Texas","35011","59067","74284"
"Edwards County, Texas","547","54440","61317"
"Ellis County, Texas","40381","69685","82617"
"El Paso County, Texas","192989","44619","60076"
"Erath County, Texas","8974","52201","70125"
"Falls County, Texas","3577","43216","54970"
"Fannin County, Texas","8420","52392","62647"
"Fayette County, Texas","6762","60929","77957"
"Fisher County, Texas","1042","55000","67368"
"Floyd County, Texas","1790","54696","67605"
"Foard County, Texas","289","44152","51978"
"Fort Bend County, Texas","158752","94931","115357"
"Franklin County, Texas","2986","61723","84394"
"Freestone County, Texas","5023","54284","69128"
"Frio County, Texas","3673","38823","55788"
"Gaines County, Texas","4158","56868","76362"
"Galveston County, Texas","76115","76204","94404"
"Garza County, Texas","1110","56979","73574"
"Gillespie County, Texas","7182","65457","83003"
"Glasscock County, Texas","312","98409","103454"
"Goliad County, Texas","2226","63672","85287"
"Gonzales County, Texas","4699","45275","63250"
"Gray County, Texas","5633","54327","68031"
"Grayson County, Texas","32467","57313","71061"
"Gregg County, Texas","30713","56869","74139"
"Grimes County, Texas","6160","56398","68879"
"Guadalupe County, Texas","35419","71325","82993"
"Hale County, Texas","8582","45971","59539"
"Hall County, Texas","772","45593","61695"
"Hamilton County, Texas","2127","48894","62989"
"Hansford County, Texas","1457","57703","75483"
"Hardeman County, Texas","1093","45750","54581"
"Hardin County, Texas","15179","64383","77736"
"Harris County, Texas","984120","60594","87290"
"Harrison County, Texas","17227","55113","71001"
"Hartley County, Texas","1293","75527","94659"
"Haskell County, Texas","1670","48886","63435"
"Hays County, Texas","36393","75729","92223"
"Hemphill County, Texas","1055","66513","88811"
"Henderson County, Texas","20508","48789","63472"
"Hidalgo County, Texas","178186","36884","51759"
"Hill County, Texas","9167","52184","63658"
"Hockley County, Texas","5953","61002","72636"
"Hood County, Texas","14606","64873","84125"
"Hopkins County, Texas","9944","52124","64832"
"Houston County, Texas","5212","46557","62314"
"Howard County, Texas","7243","58661","70096"
"Hudspeth County, Texas","793","25304","40148"
"Hunt County, Texas","21331","55101","69657"
"Hutchinson County, Texas","5422","51838","63961"
"Irion County, Texas","494","58875","76770"
"Jack County, Texas","2033","64836","87459"
"Jackson County, Texas","3638","62062","74084"
"Jasper County, Texas","9178","49398","62170"
"Jeff Davis County, Texas","693","60341","74286"
"Jefferson County, Texas","59438","53650","70424"
"Jim Hogg County, Texas","1321","42775","59706"
"Jim Wells County, Texas","10424","47588","66214"
"Johnson County, Texas","39852","65392","79437"
"Jones County, Texas","3667","51219","60746"
"Karnes County, Texas","3200","55603","75452"
"Kaufman County, Texas","27331","67995","79456"
"Kendall County, Texas","9865","86750","109904"
"Kenedy County, Texas","122","59643","55526"
"Kent County, Texas","257","56016","69883"
"Kerr County, Texas","13423","55152","73262"
"Kimble County, Texas","1263","53145","78376"
"King County, Texas","88","76250","83249"
"Kinney County, Texas","805","45375","48883"
"Kleberg County, Texas","7687","48275","58673"
"Knox County, Texas","953","45208","55513"
"Lamar County, Texas","13545","50524","62286"
"Lamb County, Texas","3374","45304","58957"
"Lampasas County, Texas","5409","58034","71094"
"La Salle County, Texas","1197","36632","55296"
"Lavaca County, Texas","5517","54765","70344"
"Lee County, Texas","4282","66352","76984"
"Leon County, Texas","4591","54609","69676"
"Liberty County, Texas","18535","54581","65967"
"Limestone County, Texas","5655","49121","61242"
"Lipscomb County, Texas","793","64934","94317"
"Live Oak County, Texas","2842","49681","61356"
"Llano County, Texas","5305","60285","89425"
"Loving County, Texas","17","88438","96518"
"Lubbock County, Texas","65862","56425","74971"
"Lynn County, Texas","1625","49308","63180"
"McCulloch County, Texas","1957","50653","64411"
"McLennan County, Texas","56760","53085","68741"
"McMullen County, Texas","154","56591","81226"
"Madison County, Texas","2612","49303","62294"
"Marion County, Texas","2995","46207","53396"
"Martin County, Texas","1156","49643","68458"
"Mason County, Texas","1220","59531","79993"
"Matagorda County, Texas","9440","51190","70231"
"Maverick County, Texas","12950","34762","48307"
"Medina County, Texas","12085","61952","73982"
"Menard County, Texas","580","41250","56472"
"Midland County, Texas","36238","72635","104894"
"Milam County, Texas","6261","49860","63798"
"Mills County, Texas","1325","51540","67537"
"Mitchell County, Texas","1921","53022","60145"
"Montague County, Texas","5544","55267","68657"
"Montgomery County, Texas","121297","79541","104883"
"Moore County, Texas","5280","53653","64866"
"Morris County, Texas","3551","45989","59275"
"Motley County, Texas","258","40000","56435"
"Nacogdoches County, Texas","14764","50952","65697"
"Navarro County, Texas","12600","47493","61715"
"Newton County, Texas","3312","46690","63269"
"Nolan County, Texas","3627","46282","59007"
"Nueces County, Texas","84160","54483","70809"
"Ochiltree County, Texas","2885","60121","74593"
"Oldham County, Texas","490","62500","79844"
"Orange County, Texas","22027","59926","73757"
"Palo Pinto County, Texas","7185","51399","70206"
"Panola County, Texas","6380","61317","78764"
"Parker County, Texas","31696","78626","95123"
"Parmer County, Texas","2481","47096","59762"
"Pecos County, Texas","3157","58525","70191"
"Polk County, Texas","12076","45690","57829"
"Potter County, Texas","27762","46243","62528"
"Presidio County, Texas","1811","36559","47063"
"Rains County, Texas","3012","55233","61116"
"Randall County, Texas","32890","73144","87204"
"Reagan County, Texas","922","65600","72880"
"Real County, Texas","860","38438","45655"
"Red River County, Texas","3316","42371","50990"
"Reeves County, Texas","2493","44980","54853"
"Refugio County, Texas","2044","48963","66631"
"Roberts County, Texas","302","83333","105929"
"Robertson County, Texas","4145","48008","64886"
"Rockwall County, Texas","21825","92837","110221"
"Runnels County, Texas","2895","45546","58349"
"Rusk County, Texas","12534","55414","69546"
"Sabine County, Texas","2622","37827","50681"
"San Augustine County, Texas","2059","41014","51081"
"San Jacinto County, Texas","7356","53569","75323"
"San Patricio County, Texas","16875","56069","68926"
"San Saba County, Texas","1364","45678","54531"
"Schleicher County, Texas","814","70556","80654"
"Scurry County, Texas","4368","56620","76760"
"Shackelford County, Texas","986","56875","70830"
"Shelby County, Texas","6783","44129","63123"
"Sherman County, Texas","719","58977","73444"
"Smith County, Texas","53727","60259","80990"
"Somervell County, Texas","2301","70625","85413"
"Starr County, Texas","13430","27552","42716"
"Stephens County, Texas","2499","50128","61048"
"Sterling County, Texas","370","58214","66028"
"Stonewall County, Texas","368","54167","66174"
"Sutton County, Texas","1090","60395","74206"
"Swisher County, Texas","1825","45110","60032"
"Tarrant County, Texas","457384","67436","88597"
"Taylor County, Texas","32228","56565","70823"
"Terrell County, Texas","231","68750","73125"
"Terry County, Texas","2726","45765","74924"
"Throckmorton County, Texas","488","42368","58626"
"Titus County, Texas","7981","50325","63452"
"Tom Green County, Texas","28040","57722","70824"
"Travis County, Texas","237213","73951","102473"
"Trinity County, Texas","3385","44343","54581"
"Tyler County, Texas","5737","45162","57546"
"Upshur County, Texas","10398","58447","69851"
"Upton County, Texas","904","57391","65768"
"Uvalde County, Texas","6237","41173","57792"
"Val Verde County, Texas","11599","45452","58750"
"Van Zandt County, Texas","13329","51707","64056"
"Victoria County, Texas","23053","56062","72700"
"Walker County, Texas","12188","55377","68936"
"Waller County, Texas","9834","59684","75058"
"Ward County, Texas","2637","52953","66784"
"Washington County, Texas","8572","55675","68724"
"Webb County, Texas","55835","41410","54837"
"Wharton County, Texas","9790","51702","63677"
"Wheeler County, Texas","1606","63000","81644"
"Wichita County, Texas","31500","55604","70925"
"Wilbarger County, Texas","3383","45604","59356"
"Willacy County, Texas","4395","31592","40525"
"Williamson County, Texas","113285","82568","95612"
"Wilson County, Texas","12217","71234","83107"
"Winkler County, Texas","1875","55668","71821"
"Wise County, Texas","15937","63661","78541"
"Wood County, Texas","11096","52446","66925"
"Yoakum County, Texas","2143","55545","68259"
"Young County, Texas","5043","58875","75803"
"Zapata County, Texas","3725","37267","52399"
"Zavala County, Texas","2645","32930","44173"
"Beaver County, Utah","1574","56184","68871"
"Box Elder County, Utah","13225","62898","73173"
"Cache County, Utah","26659","57220","71097"
"Carbon County, Utah","5305","59397","64725"
"Daggett County, Utah","195","67898","73905"
"Davis County, Utah","77025","76888","91161"
"Duchesne County, Utah","5496","63048","73574"
"Emery County, Utah","2802","60948","66229"
"Garfield County, Utah","1310","50429","65350"
"Grand County, Utah","1965","62627","71985"
"Iron County, Utah","11041","49829","59500"
"Juab County, Utah","2582","57207","65072"
"Kane County, Utah","2012","58883","71320"
"Millard County, Utah","3122","59266","66892"
"Morgan County, Utah","2502","87922","94973"
"Piute County, Utah","407","50179","54593"
"Rich County, Utah","535","65250","85671"
"Salt Lake County, Utah","242705","70215","87598"
"San Juan County, Utah","3078","46615","56681"
"Sanpete County, Utah","5858","58486","70393"
"Sevier County, Utah","5361","53997","62636"
"Summit County, Utah","9878","95879","125544"
"Tooele County, Utah","14643","66201","76184"
"Uintah County, Utah","8340","65922","74123"
"Utah County, Utah","117170","65542","80657"
"Wasatch County, Utah","6128","70303","85960"
"Washington County, Utah","35746","55881","68789"
"Wayne County, Utah","760","48125","58082"
"Weber County, Utah","58530","62642","74432"
"Addison County, Vermont","9530","69157","83800"
"Bennington County, Vermont","10049","61270","80129"
"Caledonia County, Vermont","7980","54941","68228"
"Chittenden County, Vermont","37546","83887","102164"
"Essex County, Vermont","1792","45000","54315"
"Franklin County, Vermont","12880","68408","81089"
"Grand Isle County, Vermont","2142","69722","88965"
"Lamoille County, Vermont","6076","64500","75640"
"Orange County, Vermont","7939","63253","75798"
"Orleans County, Vermont","6986","52235","63174"
"Rutland County, Vermont","16215","61516","73513"
"Washington County, Vermont","15113","70640","84083"
"Windham County, Vermont","11544","63509","78765"
"Windsor County, Vermont","15483","70467","84992"
"Accomack County, Virginia","9277","48708","64065"
"Albemarle County, Virginia","24504","89889","118795"
"Alleghany County, Virginia","4556","59384","68108"
"Amelia County, Virginia","3622","61403","74948"
"Amherst County, Virginia","8570","56802","65258"
"Appomattox County, Virginia","4273","59252","66151"
"Arlington County, Virginia","43512","139244","172334"
"Augusta County, Virginia","20511","60614","73099"
"Bath County, Virginia","1355","55112","76204"
"Bedford County, Virginia","19905","69792","82725"
"Bland County, Virginia","1772","48906","59060"
"Botetourt County, Virginia","10037","74798","91202"
"Brunswick County, Virginia","3943","45838","53074"
"Buchanan County, Virginia","6711","38734","48065"
"Buckingham County, Virginia","4230","48786","57387"
"Campbell County, Virginia","15458","56168","66509"
"Caroline County, Virginia","7820","64258","76540"
"Carroll County, Virginia","8613","43349","53514"
"Charles City County, Virginia","1869","58893","69925"
"Charlotte County, Virginia","3314","43384","55001"
"Chesterfield County, Virginia","83188","83877","100968"
"Clarke County, Virginia","4098","95654","115381"
"Craig County, Virginia","1472","58750","61561"
"Culpeper County, Virginia","11959","75328","86096"
"Cumberland County, Virginia","2723","49351","61897"
"Dickenson County, Virginia","4526","41314","51061"
"Dinwiddie County, Virginia","7241","58543","67381"
"Essex County, Virginia","2735","53946","66149"
"Fairfax County, Virginia","277250","128596","158174"
"Fauquier County, Virginia","17205","103556","123962"
"Floyd County, Virginia","4126","50969","60001"
"Fluvanna County, Virginia","6937","79101","94796"
"Franklin County, Virginia","16857","55970","67565"
"Frederick County, Virginia","21660","76530","88890"
"Giles County, Virginia","4823","54697","67326"
"Gloucester County, Virginia","10266","72719","84153"
"Goochland County, Virginia","6394","92042","138202"
"Grayson County, Virginia","4378","40245","54288"
"Greene County, Virginia","4974","70074","77980"
"Greensville County, Virginia","2545","47517","53797"
"Halifax County, Virginia","9658","45024","57838"
"Hanover County, Virginia","27946","88604","102663"
"Henrico County, Virginia","79990","75640","95777"
"Henry County, Virginia","15386","43284","53822"
"Highland County, Virginia","757","56625","67824"
"Isle of Wight County, Virginia","10191","77524","90485"
"James City County, Virginia","19337","90406","110425"
"King and Queen County, Virginia","2012","55182","64248"
"King George County, Virginia","6034","90752","101904"
"King William County, Virginia","4584","68397","75239"
"Lancaster County, Virginia","3142","66189","80064"
"Lee County, Virginia","6604","40704","47874"
"Loudoun County, Virginia","83146","133550","151388"
"Louisa County, Virginia","9398","66882","77938"
"Lunenburg County, Virginia","3033","41875","54156"
"Madison County, Virginia","3528","60441","74758"
"Mathews County, Virginia","2880","71441","81649"
"Mecklenburg County, Virginia","7934","49468","59001"
"Middlesex County, Virginia","2986","64313","83047"
"Montgomery County, Virginia","19187","66800","82989"
"Nelson County, Virginia","4163","59191","67608"
"New Kent County, Virginia","5288","78995","94634"
"Northampton County, Virginia","2984","52742","68309"
"Northumberland County, Virginia","3793","60747","68868"
"Nottoway County, Virginia","3722","52837","58328"
"Orange County, Virginia","9425","67802","80497"
"Page County, Virginia","6908","49682","61641"
"Patrick County, Virginia","5185","42547","50231"
"Pittsylvania County, Virginia","18364","52071","60335"
"Powhatan County, Virginia","7532","87045","101895"
"Prince Edward County, Virginia","4913","48282","57786"
"Prince George County, Virginia","8955","70566","79065"
"Prince William County, Virginia","103008","106544","122672"
"Pulaski County, Virginia","10148","54224","64278"
"Rappahannock County, Virginia","2126","66773","92232"
"Richmond County, Virginia","1878","68487","76459"
"Roanoke County, Virginia","25859","75860","90061"
"Rockbridge County, Virginia","6291","59165","73127"
"Rockingham County, Virginia","21052","60869","80623"
"Russell County, Virginia","7684","43459","55493"
"Scott County, Virginia","6876","47067","57929"
"Shenandoah County, Virginia","12209","57422","68783"
"Smyth County, Virginia","8664","46776","56988"
"Southampton County, Virginia","4770","58038","68941"
"Spotsylvania County, Virginia","32962","87374","99391"
"Stafford County, Virginia","34311","106322","119771"
"Surry County, Virginia","1855","59331","62984"
"Sussex County, Virginia","2296","53520","60288"
"Tazewell County, Virginia","12739","45080","60902"
"Warren County, Virginia","10147","72597","85322"
"Washington County, Virginia","15546","54606","71906"
"Westmoreland County, Virginia","4440","55966","67686"
"Wise County, Virginia","10510","46628","56645"
"Wythe County, Virginia","7989","49044","62958"
"York County, Virginia","19109","95392","109050"
"Alexandria city, Virginia","30863","107511","144234"
"Bedford city, Virginia","1690","44058","58848"
"Bristol city, Virginia","4813","41025","49064"
"Buena Vista city, Virginia","1720","49429","52669"
"Charlottesville city, Virginia","7340","65579","91481"
"Chesapeake city, Virginia","59469","80767","92908"
"Colonial Heights city, Virginia","4478","66704","75825"
"Covington city, Virginia","1361","45742","54994"
"Danville city, Virginia","11086","40768","54939"
"Emporia city, Virginia","1496","41429","58036"
"Fairfax city, Virginia","5768","113538","136418"
"Falls Church city, Virginia","3092","152857","176499"
"Franklin city, Virginia","2283","43780","57382"
"Fredericksburg city, Virginia","5170","57404","80953"
"Galax city, Virginia","1725","47297","66455"
"Hampton city, Virginia","33370","62991","72128"
"Harrisonburg city, Virginia","8135","53588","68773"
"Hopewell city, Virginia","5300","47214","56923"
"Lexington city, Virginia","855","57868","73742"
"Lynchburg city, Virginia","16060","50676","69440"
"Manassas city, Virginia","9054","75810","94843"
"Manassas Park city, Virginia","3331","74552","91162"
"Martinsville city, Virginia","3408","40875","54505"
"Newport News city, Virginia","43720","59514","72852"
"Norfolk city, Virginia","49478","51986","71327"
"Norton city, Virginia","902","56290","71430"
"Petersburg city, Virginia","7283","40559","50979"
"Poquoson city, Virginia","3421","98848","114482"
"Portsmouth city, Virginia","23689","53632","64757"
"Radford city, Virginia","2409","57450","67217"
"Richmond city, Virginia","40329","48681","79119"
"Roanoke city, Virginia","23116","48879","63270"
"Salem city, Virginia","6226","60742","80777"
"Staunton city, Virginia","5939","61671","72057"
"Suffolk city, Virginia","22396","78565","88339"
"Virginia Beach city, Virginia","112631","76285","92877"
"Waynesboro city, Virginia","5370","57726","65929"
"Williamsburg city, Virginia","2276","64329","93411"
"Winchester city, Virginia","5666","56967","78874"
"Adams County, Washington","4557","48121","57628"
"Asotin County, Washington","5768","55321","69996"
"Benton County, Washington","45471","72126","86639"
"Chelan County, Washington","18707","61230","79482"
"Clallam County, Washington","18778","59169","69844"
"Clark County, Washington","110058","68276","82734"
"Columbia County, Washington","1106","50956","66314"
"Cowlitz County, Washington","26726","56810","67895"
"Douglas County, Washington","10459","55665","65638"
"Ferry County, Washington","1988","42164","55372"
"Franklin County, Washington","18039","57710","68032"
"Garfield County, Washington","653","66182","73626"
"Grant County, Washington","21720","52848","63182"
"Grays Harbor County, Washington","17571","52948","64441"
"Island County, Washington","22620","69775","84141"
"Jefferson County, Washington","7993","62737","74307"
"King County, Washington","473862","92510","117659"
"Kitsap County, Washington","66152","74993","91875"
"Kittitas County, Washington","9444","63929","70406"
"Klickitat County, Washington","5486","48375","61921"
"Lewis County, Washington","19647","53627","63566"
"Lincoln County, Washington","3004","60478","72669"
"Mason County, Washington","15674","57662","67149"
"Okanogan County, Washington","10877","47539","57965"
"Pacific County, Washington","5832","50919","64829"
"Pend Oreille County, Washington","3686","47847","61058"
"Pierce County, Washington","202286","70077","84421"
"San Juan County, Washington","4806","65067","91437"
"Skagit County, Washington","31066","64951","77131"
"Skamania County, Washington","2993","67354","80922"
"Snohomish County, Washington","182790","80856","93559"
"Spokane County, Washington","118609","62589","76728"
"Stevens County, Washington","12163","52410","61957"
"Thurston County, Washington","66801","74207","85649"
"Wahkiakum County, Washington","1096","48156","57094"
"Walla Walla County, Washington","13905","59108","75934"
"Whatcom County, Washington","49023","68159","80281"
"Whitman County, Washington","8238","63713","78915"
"Yakima County, Washington","58232","48946","62750"
"Barbour County, West Virginia","4299","44395","52280"
"Berkeley County, West Virginia","28434","61575","75792"
"Boone County, West Virginia","6864","54315","62656"
"Braxton County, West Virginia","3845","43884","54010"
"Brooke County, West Virginia","6521","55605","62628"
"Cabell County, West Virginia","24174","52300","69492"
"Calhoun County, West Virginia","2101","41920","49925"
"Clay County, West Virginia","2434","42629","49328"
"Doddridge County, West Virginia","1930","43622","49578"
"Fayette County, West Virginia","11508","42182","53234"
"Gilmer County, West Virginia","1615","49852","58518"
"Grant County, West Virginia","3022","51667","56393"
"Greenbrier County, West Virginia","10005","48487","60152"
"Hampshire County, West Virginia","4657","45831","54323"
"Hancock County, West Virginia","8542","49200","64918"
"Hardy County, West Virginia","3094","43097","53372"
"Harrison County, West Virginia","18520","54364","66118"
"Jackson County, West Virginia","7810","53355","65805"
"Jefferson County, West Virginia","14034","77447","88527"
"Kanawha County, West Virginia","50847","58481","78221"
"Lewis County, West Virginia","4342","44653","59182"
"Lincoln County, West Virginia","6112","42293","52595"
"Logan County, West Virginia","10392","47700","56763"
"McDowell County, West Virginia","5394","30671","40839"
"Marion County, West Virginia","14742","53822","65707"
"Marshall County, West Virginia","9395","51779","66565"
"Mason County, West Virginia","7295","44401","56299"
"Mercer County, West Virginia","16640","44751","57166"
"Mineral County, West Virginia","6251","48910","58403"
"Mingo County, West Virginia","7592","47986","58247"
"Monongalia County, West Virginia","19147","68101","88386"
"Monroe County, West Virginia","4030","46707","53262"
"Morgan County, West Virginia","3872","51724","64126"
"Nicholas County, West Virginia","7821","48275","68751"
"Ohio County, West Virginia","10837","57865","79720"
"Pendleton County, West Virginia","2091","47745","57506"
"Pleasants County, West Virginia","1957","57604","65453"
"Pocahontas County, West Virginia","2418","43975","55049"
"Preston County, West Virginia","8831","52128","62605"
"Putnam County, West Virginia","16000","65900","79484"
"Raleigh County, West Virginia","20899","49936","63507"
"Randolph County, West Virginia","7527","48547","57980"
"Ritchie County, West Virginia","2600","45615","51337"
"Roane County, West Virginia","3978","38920","49126"
"Summers County, West Virginia","3700","44595","51322"
"Taylor County, West Virginia","4873","48618","59105"
"Tucker County, West Virginia","2087","49677","57448"
"Tyler County, West Virginia","2587","47671","54945"
"Upshur County, West Virginia","6130","49740","58723"
"Wayne County, West Virginia","10975","46749","56569"
"Webster County, West Virginia","2759","34786","46174"
"Wetzel County, West Virginia","4527","49622","62372"
"Wirt County, West Virginia","1591","43795","52567"
"Wood County, West Virginia","23292","53647","68178"
"Wyoming County, West Virginia","6427","47602","55324"
"Adams County, Wisconsin","5433","51949","60640"
"Ashland County, Wisconsin","4089","47587","60060"
"Barron County, Wisconsin","12730","54827","66588"
"Bayfield County, Wisconsin","4499","55654","65001"
"Brown County, Wisconsin","64785","67159","82926"
"Buffalo County, Wisconsin","3808","58708","68377"
"Burnett County, Wisconsin","4737","47404","57792"
"Calumet County, Wisconsin","13720","75563","88066"
"Chippewa County, Wisconsin","16474","61420","69753"
"Clark County, Wisconsin","9005","53025","63924"
"Columbia County, Wisconsin","15514","70208","80785"
"Crawford County, Wisconsin","4352","57472","66592"
"Dane County, Wisconsin","119426","83509","101573"
"Dodge County, Wisconsin","22225","64923","73590"
"Door County, Wisconsin","8474","63361","78816"
"Douglas County, Wisconsin","11638","59716","70412"
"Dunn County, Wisconsin","10499","62033","69505"
"Eau Claire County, Wisconsin","23450","67630","80030"
"Florence County, Wisconsin","1313","52846","60685"
"Fond du Lac County, Wisconsin","27658","65103","75387"
"Forest County, Wisconsin","2528","51207","57584"
"Grant County, Wisconsin","12111","58869","67048"
"Green County, Wisconsin","10136","68493","78925"
"Green Lake County, Wisconsin","5333","60358","71752"
"Iowa County, Wisconsin","6606","70079","77786"
"Iron County, Wisconsin","1857","49059","58670"
"Jackson County, Wisconsin","5260","51692","61909"
"Jefferson County, Wisconsin","21623","67058","77135"
"Juneau County, Wisconsin","6803","54255","67456"
"Kenosha County, Wisconsin","41941","68255","81315"
"Kewaunee County, Wisconsin","5544","67033","74211"
"La Crosse County, Wisconsin","27839","69606","81742"
"Lafayette County, Wisconsin","4605","59593","68743"
"Langlade County, Wisconsin","5648","50629","60719"
"Lincoln County, Wisconsin","8351","61366","68845"
"Manitowoc County, Wisconsin","21982","63889","72164"
"Marathon County, Wisconsin","36120","64950","81816"
"Marinette County, Wisconsin","11480","53495","64532"
"Marquette County, Wisconsin","4416","55060","64300"
"Menominee County, Wisconsin","883","37321","52260"
"Milwaukee County, Wisconsin","216535","55164","70993"
"Monroe County, Wisconsin","11879","61851","67397"
"Oconto County, Wisconsin","10933","62599","70103"
"Oneida County, Wisconsin","10188","58214","69861"
"Outagamie County, Wisconsin","46896","71464","83466"
"Ozaukee County, Wisconsin","24285","92262","124648"
